,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Alluring Rider,None,13,Fist,"Attack, Sap Seed, Doom",125,None,1323,None,0,531,1200,211,No,None,40,Cyan's Dream/Dreamscape (First Area) [WoR],330,Yes,10,150,0,"Angel Ring, Angel Ring, Safety Bit, Guard Bracelet (32/256)",None,Doom,Easy,Critic,"Doom (3/4), Sap Seed (1/4)",Sap Seed (inflicts 'Sap'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop",None,Humanoid,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap",None,0,0,0
Amduscias,None,13,Dagger,"Attack, Booty Shake, Slowga, Hastega",105,None,1727,None,0,526,4452,203,No,None,43,Zone Eater's Belly (Everywhere) [WoR],270,Yes,11,150,0,"Potion, Potion, Potion, Miracle Shoes (32/256)",None,Slowga,Easy,Tap Dancer,"Slowga (3/4), Booty Shake (1/4)",Booty Shake (inflicts 'Confusion'),39,"Darkness, Poison, Imp, Petrify, Critical, Berserk, Confusion Sleep","Dagger (7/8), Swordbreaker (1/8)",Humanoid,"Zombie, MagiTek, Invisible, Death, Doom, Image, Silence Sap, Slow, Stop",Poison,0,0,0
Anemone,"Lightning, Water",10,Fist,"Attack, Thundaga, Gigavolt",115,Green Cherry (7/8),1000,None,0,550,2000,191,No,None,33,Yeti's Cave (Umaro's Room & Cave with Tonberries) [WoR],100,No,10,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Gigavolt,Easy,Anemone,"Gigavolt (3/4), Imp (1/4)",Imp Touch (inflicts 'Imp'),33,"Darkness, Imp, Berserk, Confusion, Sleep",None,N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Silence, Sap, Slow, Stop","Fire, Lightning",0,0,0
Angel Whisper,Poison,12,Fist,"Attack, Fire, Gravity",95,Gold Needle (1/8),42,None,0,125,230,43,No,"Sap, Float",12,Phantom Train,90,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Gravity,Easy,Whisper,"Gravity (3/4), Graviga (1/4)",Impmare (inflicts 'Imp'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Hi-Potion (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Angler Whelk (Head),"Ice, Lightning, Water",75,Fist,"Attack, Petriblast",80,Dragon Claws (Always),0,Poison,0,1000,9845,315,No,None,31,Darill's Tomb [WoR],1600,No,7,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Easy,Whelk Head,"Attack (3/4), Petriblast (1/4)",Petriblast (inflicts 'Petrify'),35,"Zombie, Poison, MagiTek, Invisible, Imp, Critical, Image Berserk, Confusion, Sap",None,N/A,"Darkness, Petrify, Death, Doom, Silence, Sleep, Slow Stop",Fire,1,0,0
Angler Whelk (Shell),"Ice, Lightning, Water",53,Fist,"Attack, Hit",160,Dragon Claws (Always),0,None,0,1000,9230,314,No,Float,19,Darill's Tomb [WoR],1600,Yes,10,195,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Hard,Presenter,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Critical Image, Silence, Berserk, Confusion, Sap, Sleep, Slow Stop",None,N/A,"Petrify, Death, Doom",Fire,1,0,0
Anguiform,Water,14,Fist,"Attack, Garrote, Aqua Breath",80,Phoenix Down (1/8),96,None,0,358,315,50,No,Darkness,13,Serpent Trench,150,No,6,150,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",None,Aqua Breath,Hard,Anguiform,"Aqua Breath (3/4), Garrote (1/4)",Garrote (500% damage),25,Imp,Hi-Potion (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Lightning,0,0,0
Antares,Fire,20,Ice Rod,"Attack, Dreamstinger, Magnitude 8",120,Antidote (1/8),290,None,0,270,480,90,No,None,20,Cave to the Sealed Gate (First Cave; B2F),15,No,10,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Magnitude 8,Easy,Coelecite,"Magnitude 8 (3/4), Dreamstinger (1/4)",Dreamstinger (inflicts 'Sleep'),35,"Darkness, Imp, Silence, Berserk, Confusion, Sleep","Antidote (7/8), Hi-Potion (1/8)",N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Sap, Slow, Stop",Ice,0,0,0
Apocrypha,None,18,Ice Rod,"Attack, Silencing Touch, Lv. 3 Confuse, Lv. 4 Flare",80,None,1200,None,0,525,1900,108,No,None,26,Floating Continent,195,Yes,10,150,0,"Potion, Potion, Potion, Elixir (64/256)",Meteor Strike,Lv.3 Confuse,Hard,Apokryphos,"Lv. 3 Confuse (3/4), Silencing Touch (1/4)",Silencing Touch (inflicts 'Silence'),37,"Zombie, Poison, Imp, Doom, Critical, Berserk, Confusion",Angel Ring (1/8),N/A,"Darkness, MagiTek, Invisible, Petrify, Death, Image, Silence Sap, Sleep, Slow, Stop","Lightning, Holy, Water",0,0,0
Apparition,Poison,15,Partisan,"Attack, Lightning",120,Hyper Wrist (Always),0,None,0,0,1500,47,No,None,19,Phantom Train (Monster-in-a-Box),10000,Yes,8,180,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Specter,"Attack (3/4), Lightning (1/4)",Lightning (200% damage),40,"Darkness, Imp, Berserk, Confusion, Sleep, Slow, Stop",None,Undead,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Silence, Sap","Fire, Holy",0,0,0
Armodullahan,Ice,60,Fist,"Attack, Spear, Doom",140,X-Potion (1/8),5000,None,20,0,35000,274,No,"Float, Haste",83,Dragon's Den (Cloister of Trials) [WoR],2500,No,22,200,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Doom (3/4), Spear (1/4)",Spear (200% damage),68,"Zombie, Poison, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sleep, Slow, Stop",Genji Glove (1/8),Undead,"Darkness, MagiTek, Image, Sap",Fire,0,1,1
Armored Weapon,None,18,Fist,"Attack, Metal Arm, Magitek Laser, Absolute Zero",190,None,5848,None,10,1189,9200,216,No,Reflect,47,Ancient Castle (inside) [WoR],1956,No,15,125,10,"Golden Spear, Golden Shield, Golden Helm, Golden Armor (32/256)",None,Gravity Bomb,Easy,Lethal Wpn,"Mega Berserk (3/4), Metal Arm (1/4)",Metal Arm (200% damage),55,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Silence, Berserk, Confusion, Sap, Sleep",Debilitator (1/8),N/A,"Death, Doom, Slow, Stop","Lightning, Water",0,0,0
Aspidochelon,Poison,22,Fist,"Attack, Rage, Landslide, Avalanche",135,Teleport Stone (1/8),1270,None,0,519,3210,237,Yes,Sap,38,Ebot's Rock (Rooms with Coral Chests) [WoR],514,No,10,150,20,"Tent, Phoenix Down, Teleport Stone, Holy Water (64/256)",None,Landslide,Hard,Opinicus,"Landslide (3/4), Rage (1/4)",Rage (150% damage),38,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Teleport Stone (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Aspiran,Water,2,Fist,"Attack, Numbspines, Gigavolt",100,X-Potion (1/8),48,None,0,115,220,51,No,"Darkness, Float",12,Serpent Trench,330,No,2,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Gigavolt,Easy,Aspik,"Gigavolt (3/4), Numbspines (1/4)",Numbspines (inflicts 'Stop'),40,"Darkness, Imp, Silence, Confusion, Sleep",Potion (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Berserk, Sap, Slow, Stop",Fire,0,0,0
Baalzephon,"Ice, Lightning, Poison, Wind, Earth, Water",17,Fist,"Attack, Frenzy",105,None,1385,None,20,826,3609,204,No,Float,43,Zone Eater's Belly (Everywhere) [WoR],300,Yes,11,150,0,"Potion, Potion, Potion, Safety Bit (32/256)",Meteor Strike,Blizzaga,Easy,Woolly,"Tornado (3/4), Frenzy (1/4)",Frenzy (inflicts 'Berserk'),32,"Darkness, Poison, Imp, Petrify, Critical, Berserk, Confusion Slow, Stop","Kunai (7/8), Sasuke (1/8)",Humanoid,"Zombie, MagiTek, Invisible, Death, Doom, Image, Silence Sap, Sleep",Fire,0,0,0
Balloon,Fire,11,Fist,"Attack, Flare Up, Self-Destruct",20,None,369,None,0,300,555,98,No,Float,22,Thamasa (Burning House),80,No,10,130,0,"Potion, Potion, Potion, Flame Shield (32/256)",Meteor Strike,Self-Destruct,Easy,Balloon,"Self-Destruct (3/4), Flare Up (1/4)",Flare Up (150% damage),25,"Imp, Sleep",Phoenix Down (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop","Ice, Water",0,0,0
Bandit,None,19,Fist,"Attack, Wrench, Wrench, Wrench",90,Potion (1/8),25,None,0,25,35,6,No,None,5,Narshe Mines (Biggs/Wedge/Terra raid OR Terra/Edgar/Bannon Scenario) [WoB],0,No,10,120,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Self-Destruct,Easy,Repo Man,"Flare (3/4), Wrench (1/4)",Wrench (150% damage),35,None,Potion (Always),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Basilisk,None,13,Fist,"Attack, Stone Gaze, Break, Dread Gaze",135,Tortoise Shield (1/8),2400,None,10,1120,5000,179,No,None,54,"South-Western Continent (Grass, Desert [North]) [WoR] Northern-Middle Continent (Grass) [WoR]",1020,No,10,155,10,"Antidote, Green Cherry, Eye Drops, Gold Needle (64/256)",None,Break,Easy,Geckorex,"Break (3/4), Stone Gaze (1/4)",Stone Gaze (inflicts 'Petrify'),35,Petrify,Tortoise Shield (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Ice,0,0,0
Behemoth,None,25,Fist,"Attack, Beatdown, Meteor, Firaga",100,X-Potion (1/8),2055,None,0,0,5800,111,No,None,28,Floating Continent,180,No,7,135,0,"Potion, Potion, Potion, Elixir (32/256)",None,Meteor,Easy,Behemoth,"Meteor (3/4), Beatdown (1/4)",Beatdown (300% damage),50,"Darkness, Poison, Imp, Doom, Silence, Confusion, Sleep Slow, Stop",Hermes Sandals (1/8),N/A,"Zombie, MagiTek, Invisible, Petrify, Death, Critical, Image Berserk, Sap",Ice,0,0,0
Behemoth King,Ice,11,Fist,"Attack, Devil Claw",120,Behemoth Suit (Always),0,None,0,0,19000,317,Yes,None,43,Cave on the Veldt [WoR],1600,No,9,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,Firaga,Can't Run Away,SrBehemoth,"Attack (3/4), Devil Claw (1/4)","Devil Claw (unblockable; standard damage, removes 'Reflect')",60,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Critical Silence, Berserk, Confusion, Sap, Sleep",Murasame (1/8),N/A,"Darkness, Imp, Doom, Image, Slow, Stop","Fire, Poison",0,0,0
Behemoth King (Undead),Poison,27,Fist,"Attack, Attack, Attack, Attack",105,Behemoth Suit (Always),0,None,0,0,19000,318,No,None,49,Cave on the Veldt [WoR],9999,No,10,150,0,"Cursed Ring, Cursed Ring, Thornlet, Lich Ring (32/256)",Control,Firaga,Can't Run Away,SrBehemoth,"Firaga (3/4), Sleeping Gas (1/4)",Sleeping Gas (inflicts 'Sleep'),39,"Poison, Invisible, Imp, Petrify, Image, Silence, Berserk Confusion, Sap, Sleep, Slow, Stop",None,Undead,"Darkness, Zombie, MagiTek, Death, Doom, Critical","Fire, Holy",1,0,0
Belmodar,Lightning,25,Dragon Claws,"Attack, Megavolt",100,Hi-Potion (1/8),246,None,0,186,232,14,Yes,None,8,Grass/Forest around South Figaro [WoB] Grass between Mt. Kolts and Returner Hideout [WoB] Grass outside Nikeah [WoB],100,No,10,155,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Megavolt,Easy,Rhinotaur,"Gigavolt (3/4), Megavolt (1/4)",Rush (200% damage),35,"Petrify, Slow, Stop","Potion (7/8), Mythril Claws (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep",None,0,0,0
Belzecue,None,13,Dragon Claws,"Attack, Program 95, Fira",220,None,228,None,0,343,615,77,No,None,19,Vector (Confront a soldier walking around) Magitek Research Facility (1st & 2nd Room),45,No,10,140,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (255/256)",None,Gravity,Easy,Garm,"Blizzaga (3/4), Program 95 (1/4)",Program 95 (inflicts 'Confusion'),30,"Zombie, Poison, MagiTek, Imp, Petrify, Sap","Potion (7/8), Phoenix Down (1/8)",N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Birthday Suit,None,13,Partisan,"Attack, Hit",5,None,18,None,0,54,100,14,No,None,6,Locke's Scenario (After you steal Merchant's/Cadet's clothes),100,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,B.Day Suit,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",None,N/A,None,Poison,0,0,0
Bit,None,12,Fist,"Attack, Hit",230,None,0,None,0,0,420,305,No,None,25,Air (After you get blown off Blackjack by Typhon),285,No,10,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Speck,"Attack (3/4), Hit (1/4)",Hit (150% damage),15,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",Amulet (1/8),N/A,"Slow, Stop","Lightning, Water",1,0,0
Black Dragon,Poison,14,Fist,"Attack, Sandstorm, Death, Thundara",102,Tent (1/8),780,None,0,502,4000,121,No,Sap,26,Solitary Island (Desert) [WoR] Southern Continent (Desert) [WoR],600,No,10,20,0,"Remedy, Remedy, Remedy, Remedy (64/256)",Meteor Strike,Snowstorm,Easy,Black Drgn,"Heartless Angel (3/4), Sandstorm (1/4)",Bone Powder (inflicts 'Zombie'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Holy Water (7/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Blade Dancer,None,1,Sasuke,"Attack, Drain, Osmose, Fira",60,None,1531,None,0,769,2539,161,No,None,22,Owzer's Mansion [WoR],100,Yes,30,170,0,"Potion, Potion, Potion, Miracle Shoes (32/256)",None,Osmose,Hard,SoulDancer,"Osmose (3/4), Drain (1/4)",Blood Dance (steals HP),30,"Imp, Petrify, Death, Doom, Critical",Moogle Suit (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop",Poison,0,0,0
Bloodfang,None,13,Dragon Claws,"Attack, Rabies",95,Dried Meat (1/8),135,None,0,185,325,59,No,None,14,Grass around Kohlingen,20,No,10,150,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Drain,Easy,Red Fang,"Attack (3/4), Rabies (1/4)",Rabies (inflicts 'Poison'),30,None,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,0,0,0
Blue Dragon,Water,13,Fist,"Attack, Hit",110,Zantetsuken (Always),0,None,0,0,26900,338,No,None,65,Ancient Castle (Queen's Basement after revealing stairs) [WoR],3800,No,10,150,0,"Crystal Sword, Crystal Shield, Crystal Helm, Crystal Mail (32/256)",Control,None,Can't Run Away,Blue Drgn,"Blizzaga (3/4), Blaster (1/4)",Hit (steals MP),75,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sap, Sleep, Stop",None,N/A,"Darkness, Poison, Image, Slow",Lightning,1,0,0
Blue Dragon #2,Water,40,Fist,Attack,150,Save the Queen (Always),0,None,20,0,57000,376,No,None,97,Dragon's Den (Dragon Temple) [WoR],16000,No,15,150,10,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Aqua Breath (1/4)",Blue Fang (inflicts 'Stop'),80,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Image, Silence, Berserk, Confusion, Sleep, Stop",X-Potion (1/8),N/A,"Darkness, Poison, Sap, Slow",Lightning,0,1,1
Bogy,None,15,Fist,"Attack, Growl",102,None,532,None,0,1200,1318,139,Yes,Protect,29,North-Western Continent (Wasteland) [WoR],100,No,10,153,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Growl,Easy,Bogy,"Attack (3/4), Growl (1/4)",Growl (200% damage),30,Petrify,Hi-Potion (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,0,0,0
Bomb,Fire,10,Fist,"Attack, Self-Destruct, Blaze",90,Hi-Potion (1/8),35,None,0,80,160,45,No,Float,8,Phantom Train Forest to the West of Veldt,50,No,1,150,0,"Potion, Potion, Potion, Flame Shield (32/256)",Meteor Strike,Blaze,Easy,Bomb,"Blaze (3/4), Self-Destruct (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, Imp, Petrify","Potion (7/8), Hi-Potion (1/8)",N/A,"MagiTek, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop","Ice, Water",0,0,0
Bonnacon,None,12,Fist,"Attack, Digestive Fluid, Magnitude 8, Quake",50,None,232,None,0,270,505,99,No,None,23,Esper Cave (Cave),20,No,10,50,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Sticky Goo,Easy,Slurm,"Attack (3/4), Digestive Fluid (1/4)",Digestive Fluid (inflicts 'Sap'),30,"Darkness, Invisible, Imp, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Hi-Potion (7/8),N/A,"Zombie, Poison, MagiTek, Petrify, Death, Doom, Critical",Fire,0,0,0
Borghese,Poison,45,Partisan,"Attack, Bio, Holy",105,"Holy Water (7/8), Amulet (1/8)",510,None,0,716,1584,143,No,None,30,Darill's Tomb (B1F) [WoR],250,No,10,140,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (64/256)",None,Holy,Easy,Orog,"Holy (3/4), Bio (1/4)",Zombie Touch (inflicts 'Zombie'),35,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Amulet (1/8),"Humanoid, Undead","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Brachiosaur,None,55,Fist,"Attack, Spin",190,Celestriad (1/8),14396,None,70,0,46050,171,No,None,77,North-Eastern Continent (Forest) [a.k.a. Dinosaur Forest] [WoR],51420,No,25,145,50,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Disaster,Easy,Brachosaur,"Traveler (3/4), Spin (1/4)",Spin (600% damage),95,"Darkness, Zombie, MagiTek, Imp, Petrify, Death, Doom Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Stop",Ribbon (1/8),N/A,"Poison, Invisible, Slow",Ice,0,0,0
Brainpan,Poison,24,Fist,"Attack, Smirk, 1000 Needles",120,None,550,None,0,600,1300,106,No,Float,25,Floating Continent,1000,Yes,10,110,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",Meteor Strike,1000 Needles,Easy,Brainpan,"1000 Needles (3/4), Smirk (1/4)",Smirk (inflicts 'Stop'),35,"Darkness, Zombie, Poison, Imp, Silence, Berserk, Sleep",Earring (1/8),Undead,"MagiTek, Invisible, Petrify, Death, Doom, Critical, Image Confusion, Sap, Slow, Stop","Fire, Lightning, Holy",0,0,0
